dataset,model1,model2,mapping,lambda,num_samples,sampling_strategy,original_MSE_loss,MSE_loss,MSE_loss_transformed,class
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0,10,equally,0.15997828543186188,0.17160940170288086,0.038405854254961014,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0,10,outliers,0.15999072790145874,0.19316938519477844,0.03813134506344795,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0,10,worst_classes,0.1599774807691574,0.17064180970191956,0.03690769150853157,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.01,200,convex_hull,0.1600111871957779,0.15562596917152405,0.04181833192706108,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.01,200,equally,0.1600758284330368,0.15686406195163727,0.042100779712200165,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.01,200,outliers,0.15995579957962036,0.15545013546943665,0.0409301333129406,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.01,200,worst_classes,0.16006731986999512,0.15714409947395325,0.0425419881939888,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.1,200,convex_hull,0.16001753509044647,0.15556345880031586,0.0421522781252861,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.1,200,equally,0.15996798872947693,0.15418152511119843,0.04418133944272995,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.1,200,outliers,0.16001321375370026,0.15543027222156525,0.04078906029462814,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.1,200,worst_classes,0.1599102020263672,0.15690508484840393,0.04259483516216278,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0,200,convex_hull,0.15986701846122742,0.16276323795318604,0.029007643461227417,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0,200,equally,0.1600695103406906,0.17129923403263092,0.03858654946088791,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0,200,outliers,0.1598743349313736,0.1617961972951889,0.029672613367438316,all
