dataset,model1,model2,sampling_strategy,mapping,lambda,latent_dim,num_samples,MSE_loss,MSE_loss_model1,MSE_loss_model2,class
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,worst_classes,Linear,0.1,10,100,0.17392320930957794,0.17862291634082794,0.18014249205589294,9
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,convex_hull,Linear,0,10,100,0.18256855010986328,0.17332160472869873,0.1752273589372635,0
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,convex_hull,Linear,0,10,100,0.13118000328540802,0.12725770473480225,0.1258188933134079,1
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,convex_hull,Linear,0,10,100,0.2159508913755417,0.20884932577610016,0.2154889851808548,2
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,convex_hull,Linear,0,10,100,0.14504022896289825,0.13555499911308289,0.1349724531173706,3
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,convex_hull,Linear,0,10,100,0.23183806240558624,0.2174321711063385,0.22058692574501038,4
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,convex_hull,Linear,0,10,100,0.0794663280248642,0.0776049941778183,0.08020395785570145,5
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,convex_hull,Linear,0,10,100,0.18243440985679626,0.17544837296009064,0.1789737492799759,6
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,convex_hull,Linear,0,10,100,0.10483178496360779,0.09689702093601227,0.10002518445253372,7
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,convex_hull,Linear,0,10,100,0.2173546999692917,0.2095307856798172,0.21513444185256958,8
